info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "POST /api/v1/funddonotes/usernotes/createnote HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 147 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 201 126 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 108 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 109 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 73 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "POST /api/v1/funddonotes/usernotes/createnote HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:12 +0000] "GET /api/v1/funddonotes/usernotes/readnote/undefined HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:13 +0000] "GET /api/v1/funddonotes/usernotes/readnote/invalidId HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:13 +0000] "GET /api/v1/funddonotes/usernotes/readnote/undefined HTTP/1.1" 200 27 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:08:13 +0000] "GET /api/v1/funddonotes/usernotes/readnote/609b01b8f40f4d001f7b0342 HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:11:11 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 147 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:11:11 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 201 116 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:11:11 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 108 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:11:11 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 109 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:11:11 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 73 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:11:11 +0000] "POST /api/v1/funddonotes/usernotes/createnote HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:12:40 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 147 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:12:40 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 201 116 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:12:40 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 108 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:12:40 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 109 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:12:40 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 73 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:12:40 +0000] "POST /api/v1/funddonotes/usernotes/createnote HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:14:56 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 147 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:14:57 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 147 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:14:57 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 108 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:14:57 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 109 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:14:57 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 103 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:14:57 +0000] "POST /api/v1/funddonotes/usernotes/createnote HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:32 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 147 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:32 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 147 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:32 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 108 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:32 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 109 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:32 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 103 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:32 +0000] "POST /api/v1/funddonotes/usernotes/createnote HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:48 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 201 116 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:48 +0000] "POST /api/v1/funddonotes/user/register HTTP/1.1" 400 82 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:48 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 108 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:48 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 109 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:48 +0000] "POST /api/v1/funddonotes/user/login HTTP/1.1" 400 73 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [11/Nov/2024:18:15:48 +0000] "POST /api/v1/funddonotes/usernotes/createnote HTTP/1.1" 200 44 "-" "node-superagent/3.8.3"

